restaurant,url,category,distance,star,num_reviews
Fuzion Donuts,https://www.doordash.com/store/2835034/?pickup=false,"$$ • Bakery, Donuts",15 min • 0.3 mi,4.6,(51)
Hong Kong Bakery,https://www.doordash.com/store/445767/?pickup=false,"$$ • Bakery, Cakes",17 min • 0.5 mi,4.4,(160)
Marble Slab Creamery,https://www.doordash.com/store/493490/?pickup=false,"$$ • Cakes, Ice Cream",15 min • 0.6 mi,4.6,(230)
Szechuan Garden,https://www.doordash.com/store/155420/?pickup=false,"$ • Chinese, Vegetarian",29 min • 1.9 mi,4.3,(670+)
Loaded Pierogi,https://www.doordash.com/store/726405/?pickup=false,"$$ • Salads, Beer",21 min • 0.5 mi,4.6,(276)
Gangnam Street Food,https://www.doordash.com/store/1496572/?pickup=false,"$$ • Korean, Snacks",24 min • 1.2 mi,4.7,(381)
Remedy Cafe,https://www.doordash.com/store/150716/?pickup=false,"$$ • Vegetarian Friendly, Wraps",20 min • 0.3 mi,4.7,(71)
Dagu Rice Noodle 大鼓米线,https://www.doordash.com/store/953320/?pickup=false,"$$ • Chinese, Snacks",24 min • 0.3 mi,4.6,(213)
Blaze Pizza,https://www.doordash.com/store/23046663/?pickup=false,$$ • Pizza,24 min • 1.3 mi,4.8,(71)
Little Caesars Pizza,https://www.doordash.com/store/1160451/?pickup=false,"$$ • Italian, Pizza",19 min • 0.9 mi,4.4,(311)
Quickly Bubble Tea,https://www.doordash.com/store/2561505/?pickup=false,"$$ • Smoothies, Bubble Tea",29 min • 0.3 mi,4.5,(91)
Hoang Long Casual Fare,https://www.doordash.com/store/149803/?pickup=false,"$$ • Thai, Noodles",19 min • 0.6 mi,4.6,(77)
McDonald's,https://www.doordash.com/store/1140359/?pickup=false,"$$ • Bakery, Chicken",18 min • 0.2 mi,4.7,(137)
Splash Poke,https://www.doordash.com/store/150720/?pickup=false,"$$ • Japanese, Hawaiian",18 min • 0.6 mi,4.6,"(1,000+)"
Khazana,https://www.doordash.com/store/150192/?pickup=false,"$$ • Indian, Vegetarian",24 min • 0.4 mi,4.6,(201)
I Love Sushi,https://www.doordash.com/store/140856/?pickup=false,"$$ • Japanese, Sushi",21 min • 0.3 mi,4.6,(493)
Gong Cha 贡茶,https://www.doordash.com/store/172566/?pickup=false,"$$ • Chinese, Milk Tea",16 min • 600 ft,4.5,(720+)
Pho Boy,https://www.doordash.com/store/149844/?pickup=false,"$$ • Vietnamese, Pho",26 min • 1.9 mi,4.7,(570+)
Burger Baron,https://www.doordash.com/store/140838/?pickup=false,"$$ • Burgers, American",27 min • 2.2 mi,4.2,(476)
Lee House,https://www.doordash.com/store/173877/?pickup=false,"$$ • Korean, Barbecue",23 min • 0.5 mi,4.7,(980+)
Y-Not Indian,https://www.doordash.com/store/176720/?pickup=false,"$$ • Indian, Pizza",29 min • 1.9 mi,4.3,(680+)
Asian Flame,https://www.doordash.com/store/22985915/?pickup=false,"$$ • Biryani, Smoothies",28 min • 1.8 mi,4.3,(52)
Kim Chi Korean Delight,https://www.doordash.com/store/518034/?pickup=false,"$$ • Korean, Noodles",23 min • 1.2 mi,4.5,(466)
Basha Donair Shawarma,https://www.doordash.com/store/2374450/?pickup=false,"$$ • Mediterranean, Shawarma",19 min • 0.7 mi,4.5,(131)
Butterchick,https://www.doordash.com/store/2848582/?pickup=false,"$ • Street Food, Indian",15 min • 0.4 mi,3.9,(60)
World's Finest Donair,https://www.doordash.com/store/286291/?pickup=false,"$$ • Greek, Shawarma",24 min • 1.4 mi,4.2,(440)
O2's Taphouse & Grill,https://www.doordash.com/store/172542/?pickup=false,"$$ • Canadian, Pizza",28 min • 0.7 mi,4.2,(139)
The Alley,https://www.doordash.com/store/2298614/?pickup=false,"$$ • Milk Tea, Fruit Tea",27 min • 1.3 mi,4.7,(275)
