restaurant,url,category,distance,star,num_reviews
Soup Fairy Malatang 汤小仙,https://www.doordash.com/store/1498000/?pickup=false,"$$ • Chinese, Healthy",0.7 mi • 25 min,4.5,(43)
Pho 99 Beef Noodle Soup Restaurant,https://www.doordash.com/store/298519/?pickup=false,"$$ • Vietnamese, Noodles",1.2 mi • 24 min,4.4,(81)
Falafel Scoop,https://www.doordash.com/store/818436/?pickup=false,"$$ • Middle Eastern, Falafel",0.8 mi • 23 min,4.6,(37)
The Shawarma Place,https://www.doordash.com/store/299315/?pickup=false,"$$ • Lebanese, Sandwiches",0.6 mi • 23 min,3.7,(68)
Mr. Luko,https://www.doordash.com/store/23082205/?pickup=false,"$$ • Sandwiches, Crepes",1.6 mi • 27 min,4.7,(18)
Sugar & Slice,https://www.doordash.com/store/710271/?pickup=false,"$$ • Pizza, Salads",1.3 mi • 27 min,4.6,(133)
Mandarin Bistro,https://www.doordash.com/store/1056064/?pickup=false,"$$ • Chinese, Noodles",1.0 mi • 28 min,4.5,(67)
Fries With Burger,https://www.doordash.com/store/2854596/?pickup=false,"$$ • Burgers, Poutineries",1.0 mi • 22 min,4.5,(16)
Hot Star Large Fried Chicken,https://www.doordash.com/store/2703960/?pickup=false,"$$ • Taiwanese, Chicken",0.5 mi • 20 min,4.6,(23)
Insta Bolz,https://www.doordash.com/store/1556441/?pickup=false,"$$ • Smoothies, Breakfast",0.9 mi • 26 min,4.6,(46)
La Fiesta Latina,https://www.doordash.com/store/1249760/?pickup=false,"$$ • Mexican, Gluten-Free",0.7 mi • 23 min,4.2,(63)
Pizza Hut,https://www.doordash.com/store/2102504/?pickup=false,"$$ • Delivery, Fries",0.6 mi • 24 min,4.7,(149)
La Villa Latina,https://www.doordash.com/store/511454/?pickup=false,"$$ • Mexican, Tex-Mex",1.7 mi • 29 min,4,(43)
Peace-Garden Vegetarian Paradise,https://www.doordash.com/store/1354113/?pickup=false,"$$ • Indian, Vegetarian",0.5 mi • 24 min,4.6,(28)
India Cafe,https://www.doordash.com/store/825513/?pickup=false,"$$ • Indian, Lamb",0.4 mi • 26 min,3.8,(20)
Pubwells Restaurant,https://www.doordash.com/store/664588/?pickup=false,"$$ • Pubs, Pizza",1.2 mi • 27 min,4.5,(17)
German Doner Kebab,https://www.doordash.com/store/2415330/?pickup=false,"$$ • Mediterranean, Kebabs",0.6 mi • 24 min,NA,NA
Salad Bar by Pi Co.,https://www.doordash.com/store/1013733/?pickup=false,"$$ • Delivery, Build Your Own",0.4 mi • 17 min,4.4,(37)
Metropolitain Brasserie,https://www.doordash.com/store/298380/?pickup=false,"$$ • Alcohol, Brunch",0.3 mi • 27 min,4.7,(77)
Crazy pho you,https://www.doordash.com/store/1046553/?pickup=false,"$$ • Vietnamese, Sandwiches",1.5 mi • 27 min,4.3,(58)
Yang's Braised Chicken Rice (Ottawa),https://www.doordash.com/store/1450560/?pickup=false,"$$ • Snacks, Chicken",0.5 mi • 23 min,4.8,NA
Vanier Pizza & Subs,https://www.doordash.com/store/298264/?pickup=false,"$$ • Italian, Pizza",2.1 mi • 27 min,4.3,(68)
Kernels Popcorn,https://www.doordash.com/store/1543862/?pickup=false,$$ • Popcorn,0.5 mi • 16 min,5,NA
Lois 'N' Frima's Ice Cream,https://www.doordash.com/store/1718858/?pickup=false,"$$ • Ice Cream, Hot Dogs",0.5 mi • 23 min,5,NA
First Bite Treats,https://www.doordash.com/store/2363461/?pickup=false,"$$ • Black-Owned, Desserts",0.4 mi • 25 min,5,NA
Burger Factory,https://www.doordash.com/store/22978695/?pickup=false,"$$ • American, Burgers",0.6 mi • 24 min,5,NA
Rexall,https://www.doordash.com/convenience/store/23156750/?pickup=false,"$$ • Medicine, Convenience",0.4 mi • 28 min,3.6,NA
La Catrina Churros Cafe Bar,https://www.doordash.com/store/1018430/?pickup=false,"$ • Desserts, Cafes",0.6 mi • 25 min,4.6,NA
OG's Chicken Company,https://www.doordash.com/store/942856/?pickup=false,"$$ • Poutineries, Chicken Wings",1.6 mi • 28 min,3.5,(13)
Vanier Food Mart,https://www.doordash.com/convenience/store/1368821/?pickup=false,"$$ • Snacks, Grocery",2.2 mi • 26 min,3.3,NA
Jam Rock Kitchen,https://www.doordash.com/store/23084083/?pickup=false,"$$ • Curry, Rice",1.5 mi • 30 min,4,(10)
